index,product,category,sub_category
11288,Organic - Toor Da//Togari Bele,"Foodgrains, Oil & Masala",Dals & Pulses
11289,Macadamia Nuts,"Foodgrains, Oil & Masala",Dry Fruits
11290,Color Naturals - Creme Hair Color,Beauty & Hygiene,Hair Care
11291,Namkeen - Spicy Moong Dal,Snacks & Branded Foods,Snacks & Namkeen
11292,Red Puttu Powder,"Foodgrains, Oil & Masala","Atta, Flours & Sooji"
11293,Sandwich Slices,Gourmet & World Food,Tinned & Processed Food
11294,Pomo Shots Mix Digestive,"Foodgrains, Oil & Masala",Dry Fruits
11295,Water/Juice Tumblers/Glass,"Kitchen, Garden & Pets",Crockery & Cutlery
11296,Real Ice Cream - Chocolate Brownie,"Bakery, Cakes & Dairy",Ice Creams & Desserts
11297,Salt/Uppu - Proactive,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
11298,Biryani Masala,"Foodgrains, Oil & Masala",Masalas & Spices
11299,Pancake Syrup,Gourmet & World Food,"Sauces, Spreads & Dips"
11300,Neem Leaves Powder - Supports Blood Purification & Immunity,Beauty & Hygiene,Health & Medicine
11301,Love You To The Moon And Back Signature Blend Bar,Gourmet & World Food,Chocolates & Biscuits
11302,"Extra Light Olive Oil - Frying, Sauteing & Grilling","Foodgrains, Oil & Masala",Edible Oils & Ghee
11303,Serie Expert Prokeratin Liss Unlimited Smoothing Masque,Beauty & Hygiene,Hair Care
11304,Choclairs Gold Coffee,Snacks & Branded Foods,Chocolates & Candies
11305,Satreetha Ayurvedic Shampoo,Beauty & Hygiene,Health & Medicine
11306,Achappam,Snacks & Branded Foods,Snacks & Namkeen
11307,Happy Happy Choco-Chip Cookies,Snacks & Branded Foods,Biscuits & Cookies
11308,Extra Virgin Olive Oil,Gourmet & World Food,Oils & Vinegar
11309,Coconut Flour,Gourmet & World Food,Cooking & Baking Needs
11310,Tick'et To Fleadom Dry Shampoo For Dogs,"Kitchen, Garden & Pets",Pet Food & Accessories
11311,Skin Lightening Oxygen Bleach - Rich Fairness,Beauty & Hygiene,Skin Care
11312,Organic Maida,"Foodgrains, Oil & Masala",Organic Staples
11313,Protein Packed Foxnuts - Noodle Masala,Snacks & Branded Foods,Snacks & Namkeen
11314,Syrup - Strawberry,Gourmet & World Food,Drinks & Beverages
11315,Powder - Cocoa,Snacks & Branded Foods,Ready To Cook & Eat
11316,Intimate Wet Wipes,Beauty & Hygiene,Feminine Hygiene
11317,"Dates - Kimia, with Seed",Fruits & Vegetables,Fresh Fruits
11318,Dance Beverage Glasses,"Kitchen, Garden & Pets",Crockery & Cutlery
11319,Premium Salted Wafer,Snacks & Branded Foods,Snacks & Namkeen
11320,"Mint Multi Utility Plastic Basket/Tray - Medium, Assorted Colour",Cleaning & Household,Bins & Bathroom Ware
11321,"Rectangular Plastic Container - With Lid, Multicolour","Kitchen, Garden & Pets",Storage & Accessories
11322,Emmental,Gourmet & World Food,Dairy & Cheese
11323,Baby Care Collection - with Organic Cotton Bib & Baby Comb,Baby Care,Baby Bath & Hygiene
11324,Chyawanprash - Herbal Immunity Booster,Beauty & Hygiene,Health & Medicine
11325,Assorted Gift Box - Pure Belgian Chocolate Truffles,Gourmet & World Food,Chocolates & Biscuits
11326,Organics Stress Relief Oil - Asuvagendhi Thailam,Beauty & Hygiene,Hair Care
11327,Roland Ironing Board - Assorted Colour,"Kitchen, Garden & Pets",Storage & Accessories
11328,Black Grape Preserve Jam - Rich In Energy & Fibre,Gourmet & World Food,"Sauces, Spreads & Dips"
11329,Potato - Wedges,Fruits & Vegetables,Exotic Fruits & Veggies
11330,Piloshoonya Ras,Beauty & Hygiene,Health & Medicine
11331,"Insta Mosquito Repellent Liquid Refill - 100% Protection from Dengue Mosquitoes, Twin Pack",Cleaning & Household,Fresheners & Repellents
11332,Up Or Down Eau De Toilette - For Woman,Beauty & Hygiene,Fragrances & Deos
11333,Masala - Garam,"Foodgrains, Oil & Masala",Masalas & Spices
11334,Choco Nut Cookies,Snacks & Branded Foods,Biscuits & Cookies
11335,"Cold Pressed Grapeseed Oil for Deep Moisturisation, Acne & Frizz Control",Beauty & Hygiene,Skin Care
11336,"Chota Bheem Hot & Cold Large Plastic Lunch Box - With Inner Container, Fork & Spoon, Assorted Colour","Kitchen, Garden & Pets",Storage & Accessories
11337,White Quinoa,Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
11338,Stainless Steel Canister/Container - Hammered,"Kitchen, Garden & Pets",Steel Utensils
11339,"Banana - Raw, Organically Grown",Fruits & Vegetables,Organic Fruits & Vegetables
11340,Bright Beauty Spot-less Glow Face Wash - With Vitamins,Beauty & Hygiene,Skin Care
11341,Eco Femme Full Cycle Kit,Beauty & Hygiene,Feminine Hygiene
11342,Roasted Peanut - Tandoori,Snacks & Branded Foods,Snacks & Namkeen
11343,Light Hydration Body Lotion,Beauty & Hygiene,Skin Care
11344,Tru Apple,"Bakery, Cakes & Dairy",Dairy
11345,ESPY EDP - For Women,Beauty & Hygiene,Fragrances & Deos
11346,Green Tea With Moringa,Beverages,Tea
11347,Ivory Glass Bottle - Black Abstract Design,"Kitchen, Garden & Pets",Storage & Accessories
11348,DANT KANTI NATURAL TOOTHPASTE,Beauty & Hygiene,Oral Care
11349,"Aluminium Round Cake Mould - Large, Assorted Colour","Kitchen, Garden & Pets",Bakeware
11350,Juzt Jelly - Fruity Flavour Bears,Snacks & Branded Foods,Chocolates & Candies
11351,Durum Wheat Pasta - Elbow Macaroni,Gourmet & World Food,"Pasta, Soup & Noodles"
11352,Whip Alloy Insulated Water Bottle - Pink,"Kitchen, Garden & Pets",Storage & Accessories
11353,Almond Butter Soap,Beauty & Hygiene,Bath & Hand Wash
11354,Stainless Steel Mixing/Serving Bowl Set - Large,"Kitchen, Garden & Pets",Steel Utensils
11355,Green Tea - Marigold & Lemongrass,Beverages,Tea
11356,Germ Kill Spray,Cleaning & Household,All Purpose Cleaners
11357,Multipurpose Alcohol Based Disinfectant Sanitiser Spray - Kills 99.9% Germs,Cleaning & Household,All Purpose Cleaners
11358,Fruit Drink - Orange,Beverages,Fruit Juices & Drinks
11359,"Spray - Home & Office Air Freshener, Violet Valley Bloom",Cleaning & Household,Fresheners & Repellents
11360,Dark Cocoa Powder,Gourmet & World Food,Cooking & Baking Needs
11361,Creme Care Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash
11362,Pro Nutri Cookie - Chocolate,Gourmet & World Food,Chocolates & Biscuits
11363,Rinse Aid,Cleaning & Household,All Purpose Cleaners
11364,Masala - Meat,"Foodgrains, Oil & Masala",Masalas & Spices
11365,"Clothes-Accessories Hanger - Plastic, Red - RedÂ  BB BB 588 3",Cleaning & Household,Bins & Bathroom Ware
11366,"Smart Matic Bluetooth Enabled Automatic Air Freshener Kit - Passion, 2200 sprays",Cleaning & Household,Fresheners & Repellents
11367,Ojkanti Ras,Beauty & Hygiene,Health & Medicine
11368,Refresh Body Lotion,Beauty & Hygiene,Skin Care
11369,"Cashew Nuts - Whole, 100% Natural Premium King Size",Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
11370,Silicone Pacifier Step 1 - Lady Bird,Baby Care,Baby Accessories
11371,The Perfect Glue Trap - Regular,Cleaning & Household,Fresheners & Repellents
11372,Men - Energy Bright Anti-Dullness Face Wash With Coffee Bean,Beauty & Hygiene,Skin Care
11373,Octave Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery
11374,Choco Overload Cookies,Snacks & Branded Foods,Biscuits & Cookies
11375,Corn Nuts - Lemon Chili Cilantro,Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
11376,Olive Mayonnaise,"Foodgrains, Oil & Masala",Masalas & Spices
11377,"Dry Dog Food - PRO, Expert Nutrition for Active Adult Dogs, 18 months onwards","Kitchen, Garden & Pets",Pet Food & Accessories
11378,"Body Spray - Perfumed, Respect",Beauty & Hygiene,Fragrances & Deos
11379,Borosilicate Glass Air Tight Food Container - With Blue Lid,"Kitchen, Garden & Pets",Crockery & Cutlery
11380,Almond Shampoo - Hair Growth & Hairfall Control,Beauty & Hygiene,Health & Medicine
11381,Flour - Buckwheat,"Foodgrains, Oil & Masala",Organic Staples
11382,Proso Millet With Organic Jaggery,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari"
11383,Namkeen - Ratlami Sev,Snacks & Branded Foods,Snacks & Namkeen
11384,Charcoal Bath Soap,Beauty & Hygiene,Men's Grooming
11385,Vaishnavi Zipper Economy Pouch - FG05346,Cleaning & Household,Pooja Needs
11386,Instant Noodles - Kimchi,Gourmet & World Food,"Pasta, Soup & Noodles"
11387,Deo Tripack For Men - Gentleman Classic + Gentleman Urbane + Gentleman Royale,Beauty & Hygiene,Fragrances & Deos
11388,Activated Bamboo Charcoal Shampoo,Beauty & Hygiene,Hair Care
11389,"Crack Cream - For Dry, Cracked Heels & Feet",Beauty & Hygiene,Skin Care
11390,2-in-1 Plastic Soap Case - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware
11391,Fragrance Body Spray - High Street For Women,Beauty & Hygiene,Fragrances & Deos
11392,Baked Chips - Ginger,Snacks & Branded Foods,Biscuits & Cookies
11393,Herbal Face Pack With Fruit Extracts - Nourishes Skin & Tightens Pores,Beauty & Hygiene,Skin Care
11394,Organic - Masoor Daal,"Foodgrains, Oil & Masala",Organic Staples
11395,Tea Tree & Vetiver Aroma Radical Refresher Conditioner,Beauty & Hygiene,Hair Care
11396,Oil - Mantra GroundNut,"Foodgrains, Oil & Masala",Edible Oils & Ghee
11397,"Rat/Mouse Glue Pad - No Smell, Non-Poisonous, Jumbo Size",Cleaning & Household,Fresheners & Repellents
11398,Premium Baby Wet Wipes With Aloe Vera - Paraben Free,Baby Care,Diapers & Wipes
11399,Onion Hair Oil For Split Ends & Premature Hair Loss,Beauty & Hygiene,Hair Care
11400,Pudding - Assorted,Gourmet & World Food,Chocolates & Biscuits
11401,Laxmiji Murti - Pure Brass,Cleaning & Household,Pooja Needs
11402,Body Wash Gel - Waterlily & Oil Shower,Beauty & Hygiene,Bath & Hand Wash
11403,Shadow Iris Medium Plate Set,"Kitchen, Garden & Pets",Crockery & Cutlery
11404,Multigrain Energy Bar - Vanilla Almond,Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
11405,Amrit - Brown Sugar/Sakkare,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
